action_debug,action_duty_ref,action_v_ref,dt,g,i,p,t,t_mod,v
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.04900000000000004,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 68.28973516178347, 'v_ref': 18.003999999999998, 'v_cmd': 18.003999999999998, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -2.043628140905489, 'dP': -36.75377864138676, 'sgn': 1.0, 'step': 0.008, 'state': 'NORMAL'}",,18.003999999999998,0.001,650.0,3.794717446198237,68.28973516178347,0.05000000000000004,25.0,17.996
"{'algo': 'pso', 'phase': 0, 'p': 68.32008344039677, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.903999999999996,0.001,650.0,3.794716920706331,68.32008344039677,0.05100000000000004,25.0,18.003999999999998
"{'algo': 'pso', 'phase': 1, 'iter': 0, 'idx': 1, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.9407289845544, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.803999999999995,0.001,650.0,3.7947234687530393,67.9407289845544,0.05200000000000004,25.0,17.903999999999996
"{'algo': 'pso', 'phase': 1, 'iter': 0, 'idx': 2, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.56137222392417, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.903999999999996,0.001,650.0,3.794729960903403,67.56137222392417,0.05300000000000004,25.0,17.803999999999995
"{'algo': 'pso', 'phase': 1, 'iter': 0, 'idx': 3, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.9407289845544, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.803999999999995,0.001,650.0,3.7947234687530393,67.9407289845544,0.05400000000000004,25.0,17.903999999999996
"{'algo': 'pso', 'phase': 1, 'iter': 0, 'idx': 4, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.56137222392417, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.903999999999996,0.001,650.0,3.794729960903403,67.56137222392417,0.05500000000000004,25.0,17.803999999999995
"{'algo': 'pso', 'phase': 1, 'iter': 0, 'idx': 5, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.9407289845544, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.803999999999995,0.001,650.0,3.7947234687530393,67.9407289845544,0.05600000000000004,25.0,17.903999999999996
"{'algo': 'pso', 'phase': 1, 'iter': 1, 'idx': 0, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.56137222392417, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.703999999999994,0.001,650.0,3.794729960903403,67.56137222392417,0.057000000000000044,25.0,17.803999999999995
"{'algo': 'pso', 'phase': 1, 'iter': 1, 'idx': 1, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.18201333368745, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.603999999999992,0.001,650.0,3.7947364061052573,67.18201333368745,0.058000000000000045,25.0,17.703999999999994
